"CVT" "CVE" "rel" "varT.M" "SE_T.M" "varE.M" "SE_E.M" "rel.M" "ase.M" "varT.MAE" "varE.MAE" "rel.MAE" "tau_T" "tau_E" "tau_rel" "p_T" "p_E" "p_rel" "tau_rel_cT" "tau_rel_cE" "tau_rel_cTE"
0 0 0.1 1.03211334096589 1.45325447192065 9.08412428658293 0.425127094197639 0.0855212629278815 0.135764131929918 0.713515402460382 9.0489226854159 0.121011927222682 0 0 0 0.661524671794837 0.746805821809459 NA 0 0 0
0.1 0 0.1 0.908510819455816 1.45129755920527 8.99437026252635 0.421891260204674 0.0746303856756172 0.137361000343921 0.59462651031532 8.95266039065377 0.112794387201948 0.230014847415407 0.129337212724373 0 0.529888063932305 0.239668797734431 NA 0 0 0
0.2 0 0.1 0.730197514116611 1.43197137892282 9.05377053594964 0.420358528230983 0.054353788629105 0.140392786326609 0.378369093969558 9.01487186514381 0.0933323825456297 0.557538463997016 0.190791714879126 0.0528400880077656 0.161465978962393 0.11506747750274 NA 0 0.0172012694562909 0
0.3 0 0.1 1.08817348465029 1.43920327019919 9.02665120617287 0.422071106047181 0.081587304660982 0.136143036840367 0.806636952922471 8.98097495424667 0.119367455562387 1.05955475612031 0.0888997108573527 0.0941976288229463 0.000117807488681394 0.418878325628191 NA 0 0.0641040576423948 0
0 0.1 0.1 1.24390703610373 1.46941185711253 9.0163341829874 0.41858637488312 0.102781587950532 0.133135513461098 0.937418899919585 8.97772415608195 0.141595024292986 0.794365729259353 0.798551514327228 0.0382579677582986 0.0434825261338541 2.45444101575239e-51 NA 0 0.0268315149790768 0
0.1 0.1 0.1 0.909499677140977 1.43438008158447 9.08013511722027 0.42706593550736 0.0731228836420636 0.137583765065774 0.609745075297284 9.04183108288164 0.112150250448312 0.690166445930897 0.8892407232097 0.0463455464056942 0.0805578300858697 1.42847810672727e-72 NA 0 0.0325085677400046 0
0.2 0.1 0.1 1.18263683404383 1.46852451449215 9.01066175572358 0.420014602584629 0.0977153827022234 0.134005594473996 0.844262895113491 8.96758304042769 0.135454024547589 0.556038883618639 1.03068972030391 0.0423695540398475 0.195873835111051 2.52994702189551e-85 NA 0 0.0329383294198828 0
0.3 0.1 0.1 0.970258332252888 1.46060678107325 9.10022940634956 0.42099485611027 0.0803118891874791 0.136610977765789 0.685314762730057 9.06362945999836 0.11203113065904 0 0.883878122634302 0.0474736827360859 0.703383198708377 2.4794162075383e-69 NA 0 0.0473202931820813 0
0 0.2 0.1 0.97198046367595 1.43281455659945 9.0781855512304 0.415491889190491 0.0826091824877139 0.13634508039778 0.699637448517317 9.04183069326208 0.121718160841452 0.651046459855319 1.52854811810251 0.000687971271568247 0.111704367836878 1.43143323355458e-290 NA 0 0.00255628422006026 0
0.1 0.2 0.1 1.0901548372956 1.43776266166707 9.01107202108299 0.415500001511202 0.0847232843189744 0.135890245274478 0.778389097801837 8.97110170128504 0.127284486796795 1.00684930090555 1.70317003865443 0.0686323313273468 0.000292771581665071 0 NA 0 0.0637866626809641 0
0.2 0.2 0.1 1.01044733081993 1.43232602264539 8.97811643091852 0.42043293610559 0.0827141392950653 0.136119148075093 0.60579047790174 8.94229180924644 0.120943981211357 0.534425511999962 1.88641276774701 0.0193639732266598 0.185238377503908 0 NA 0 0.0209916292629855 0
0.3 0.2 0.1 0.722192645775733 1.42218302308462 9.06503073001718 0.416496158086276 0.0587526220060844 0.139634837188486 0.496774611333959 9.03031961561151 0.0977857977188562 0.577492775497387 1.68478574598236 0.00177667285998952 0.273782709678237 0 NA 0 0.00303534635232459 0
0 0.3 0.1 1.29171904440298 1.49272288719439 8.84948795771822 0.413001251149499 0.114103733080292 0.131500675230457 0.980374311655232 8.80915902988203 0.151825582324579 0.745302067612627 2.92507302074843 0.0963950476408866 0.00396176118418975 0 NA 0 0.0852519635305454 0
0.1 0.3 0.1 1.11690787830519 1.45650333675597 8.9740100668491 0.420863807537307 0.103471218128926 0.133109787657922 0.851947048609437 8.93576337206574 0.141118895386158 0.403200980138652 3.07759845348709 0.0814017178723183 0.0698553928403458 0 NA 0 0.0604007362753004 0
0.2 0.3 0.1 1.32262440528806 1.4325626041109 8.60090316307583 0.40090438867958 0.1282521138033 0.129474440315174 NA NA NA NA NA NA NA NA NA NA NA NA
0.3 0.3 0.1 1.16482850406886 1.47033324559704 9.09666348491159 0.421091461097668 0.108594319647332 0.132338542053221 0.741967139542793 9.05678944443928 0.142854524930417 0 2.98237008905114 0.0640585529075553 0.417283424044093 0 NA 0 0.0375712557503304 0
0 0 0.3 2.88502604488977 1.40552825629377 6.9377361457766 0.325622296312162 0.281880799600871 0.106642160876927 2.60130852779823 6.91379328710809 0.307160202843163 0 0 0 0.812771748529738 0.747556073589881 NA 0 0 0
0.1 0 0.3 3.08094817045025 1.41400304603717 7.00923604357102 0.3280393541708 0.293738760200366 0.104861535524553 2.79347414881558 6.98320311454809 0.319838061148441 0.558749500113271 0.180243558169677 0 0.41290811481302 0.0331962867886968 NA 0 0 0
0.2 0 0.3 2.93298513867919 1.428331422371 7.01433132252751 0.325738765985924 0.276804306484659 0.107323176176933 2.61160798803048 6.97621890812977 0.309305784620908 0.921229396671311 0.176053827306782 0.0476499889194057 0.00393758782988808 0.0278658003893652 NA 0 0.0213575767108551 0
0.3 0 0.3 3.0675926544606 1.41312163831009 6.99666354297025 0.328350438205611 0.289700621228011 0.10547269011384 2.72871337003795 6.97110953382817 0.316486066666 0.627800527237609 0.165298278969178 0.0468059007424252 0.112137507448231 0.0523046935420969 NA 0 0.0357039192305499 0
0 0.1 0.3 3.09482710670389 1.4340117750501 7.10260198182843 0.332757200477668 0.292883500649164 0.104996610052244 2.71500847854642 7.07074174560255 0.319071434621891 0.0761406594722431 0.681397428699995 0.0108692147799533 0.792120792753391 2.7201361194094e-63 NA 0 0 0
0.1 0.1 0.3 3.12426197807137 1.41294199760952 6.95510280134006 0.325386420327312 0.298116479989382 0.104161662380168 2.7837660216454 6.92553459137393 0.32519606105684 0.440179970653976 0.691020844411693 0.0195323509303926 0.431301436660633 1.02718192926537e-64 NA 0 0.0049266346298238 0
0.2 0.1 0.3 2.96923567343602 1.42427221646594 6.91933015136231 0.321356163550222 0.284980417592615 0.106135400097839 2.69636032946076 6.89024216045188 0.316732685310161 0.887055338101384 0.762804469387811 0.0533876138847496 0.00728674917032637 6.14595258687585e-88 NA 0 0.0381675831198003 0
0.3 0.1 0.3 2.83853234391713 1.38698728000589 6.85103367391533 0.31648914484251 0.275479820975075 0.107540785637808 2.51387627172777 6.81963244148315 0.310870256391931 0.843452670414531 0.681318669857196 0.0200149277630614 0.0106985121925514 1.15051561822941e-72 NA 0 0.0192789623276674 0
0 0.2 0.3 3.09169937776816 1.4197368349279 6.86319976048844 0.31520752317809 0.30049765425003 0.10377936212388 NA NA NA NA NA NA NA NA NA NA NA NA
0.1 0.2 0.3 3.07935537240033 1.45969006765584 7.15909954192416 0.331507740770709 0.292108122573412 0.105189443448557 2.71784451894379 7.12939836935343 0.322523682845882 0.297649245554403 1.39351937381312 0.0253217091388146 0.423738618289884 0 NA 0 0 0
0.2 0.2 0.3 3.0163969190923 1.44312955110344 7.0855143441252 0.326832074180259 0.285713542523362 0.106072069887332 2.61288360486981 7.05585759151075 0.31773674335523 0.933050753997062 1.40617456019577 0.0720684453315841 0.00100835108139133 0 NA 0 0.0481247027706447 0
0.3 0.2 0.3 2.87161985952909 1.40795690080336 7.0928578892763 0.3318830739987 0.274275236692966 0.107828160663748 2.60915258349319 7.06319276919115 0.30704219631412 1.11844015027909 1.37888422529502 0.0844244977197063 1.35684476246117e-05 0 NA 0 0.0477218956026258 0
0 0.3 0.3 3.04002266796727 1.44841771746229 7.00605623070693 0.325097609549159 0.306446915687367 0.10300961535306 NA NA NA NA NA NA NA NA NA NA NA NA
0.1 0.3 0.3 2.85520989160422 1.40209990723223 7.21700192212936 0.332996146741065 0.278745687364757 0.107042414884208 2.57909295117662 7.18495365681073 0.309677762493591 0.731598447018184 2.00774062197872 0.0874591141345412 0.0136804633843745 0 NA 0 0.0435000155684744 0
0.2 0.3 0.3 2.82123862285797 1.37149963477171 6.91416453745689 0.325742395935431 0.287087675341357 0.105756042149286 2.56250762294401 6.88253314720458 0.316532570193978 1.04209338138608 2.21449261067457 0.116263643500616 1.28665862685182e-05 0 NA 0.0694503986892255 0.0611526567371789 0
0.3 0.3 0.3 3.40964697804545 1.39804446257705 6.66017664699696 0.305397594969933 0.339324210093413 0.0980817196353274 3.11579726939764 6.63227201170598 0.366351917896789 0.810384421310699 2.14834702378339 0.104073282488386 0.00366685611350043 0 NA 0.0502636849626814 0.0495800565798373 0
0 0 0.5 4.92295082112614 1.36989369456006 5.01298058145287 0.236294170736568 0.485225743393678 0.0763695402642598 4.5978245149356 4.99162944097581 0.505670860364574 0.386252115080321 0 0.0262380403740908 0.265038758705691 0.640501813052476 NA 0 0.00626306916223226 0
0.1 0 0.5 5.00157704146997 1.4091582149431 4.96750068854868 0.229646095303995 0.493958206896417 0.0750731346591537 4.68031549773726 4.94962823696308 0.510654971820843 0 0.08500967535995 0 0.873853775829162 0.281897030170769 NA 0 0 0
0.2 0 0.5 5.27921207618289 1.43289813695647 5.04776501419 0.235041301817429 0.489233908986317 0.0758563515978447 4.93907751003246 5.02431179881387 0.51457494779582 1.54277033499194 0.0400476206771347 0.0665183884630542 2.78889755628868e-14 0.485252763554215 NA 0 0.0612812351012063 0
0.3 0 0.5 5.26713770705857 1.43984788479457 4.99917768056073 0.230360739531473 0.485226653733213 0.0763974843151421 4.89794316241087 4.98392866403652 0.511504086402706 1.79740416093805 0.102007849340389 0.0847705252134776 2.71164370651571e-22 0.173968477237737 NA 0 0.0751939344937884 0
0 0.1 0.5 4.80506839369714 1.35641671826096 4.89130655205046 0.226485381023905 0.48259060282769 0.0768188284636974 4.50249864016306 4.86966892735357 0.50660987731668 1.02610625258836 0.514807206879225 0.0472606206054985 0.000154865438729929 1.72215939858238e-81 NA 0 0.0139503893978891 0
0.1 0.1 0.5 5.11249386720459 1.4139562395465 4.99249028860984 0.230772130682495 0.495657278459118 0.0748542950525449 4.71117685571184 4.97108403402619 0.515886786752381 0.416503620237716 0.520192229907597 0.039512610044632 0.199731206688373 1.44967024528514e-81 NA 0 0.0331230999948313 0
0.2 0.1 0.5 4.90018118617101 1.39399750217771 5.10212637280062 0.236626114932044 0.474724302528486 0.077993113677955 4.59285375574729 5.08102787203237 0.49728912318632 1.1742549571577 0.486630071450609 0.0559802363513796 5.4148522012259e-07 5.48478304186565e-69 NA 0 0.0481398005893078 0
0.3 0.1 0.5 4.8547560660306 1.36956050995841 5.00378963719882 0.236413407481132 0.468388366840773 0.0788648931029698 4.49939089511067 4.98082198853552 0.494948064560233 1.55719670239419 0.473093674986564 0.0766367935747783 1.76626522889666e-18 3.99763272751306e-65 NA 0 0.0722608860198473 0
0 0.2 0.5 4.95540665301011 1.40616869311173 5.07835755893908 0.240078775946774 0.493175990386358 0.0752438393450318 4.65303885190481 5.05692294088729 0.5109188188876 0.257202583502473 1.15381071075289 0.0769894935973483 0.778617875496728 0 NA 0.0563620296373158 0 0
0.1 0.2 0.5 4.85782617242341 1.3757988287549 4.9315699667794 0.230330573185581 0.491755670423883 0.0754001121310853 NA NA NA NA NA NA NA NA NA NA NA NA
0.2 0.2 0.5 5.02550550300648 1.41862681019688 4.97746044261805 0.228687130360381 0.492733920167517 0.0753402315306353 4.70047243229867 4.95640723180615 0.515413623592608 1.00597020622632 0.896933397358135 0.0627327589071315 0.000192355304898005 0 NA 0 0.0286182628593369 0
0.3 0.2 0.5 5.29373453208407 1.49270667789302 5.09306155907062 0.24062499356899 0.490742390567919 0.0755867671611663 4.91762125901517 5.06980129972992 0.515312741055795 1.66990787423717 1.04895487020393 0.0968367138785256 3.16586180002867e-16 0 NA 0 0.0681115577087784 0
0 0.3 0.5 5.08970700150998 1.40262965050682 4.9738126296288 0.229700262595473 0.509221912361294 0.0728571117497055 4.76421766790644 4.95220933031768 0.527716985091866 0.283659287192021 1.41877553792563 0.0770465593390382 0.807563363038756 0 NA 0.0607217413456549 0 0
0.1 0.3 0.5 4.91644672479009 1.39141094560242 5.05526919051897 0.236318447210213 0.491390568887387 0.0754910981125374 4.54926225580329 5.03278481287935 0.511028293653247 0.715392789095203 1.40021538793381 0.0906089076860566 0.0261049999780288 0 NA 0.0662368393408207 0.0363974459632865 0
0.2 0.3 0.5 5.09448919870466 1.42143914492768 5.05341590278256 0.237415021640221 0.49585877811291 0.0748344191023479 4.72419872130725 5.03177073255868 0.519506667742975 1.24408482497004 1.40511270696755 0.0865234866554252 8.29590203841664e-09 0 NA 0.0518868253644374 0.0432367202092593 0
