"reliability","StandardError","source"
-1.87182264164877,0.144112567055706,"Aczel"
-1.26844486948414,0.149071198499986,"Birt"
-1.36991364775329,0.143443827637312,"Evans"
-1.90219103774705,0.146884216413077,"Ferreira-Santos"
-2.1170531814415,0.14149211999267,"Gonzalez-Iraizoz"
-1.9106096078111,0.134962721696486,"Holzmeister"
-1.58468137420299,0.127360119983478,"klein Selle & Rozmann"
-1.81263547866029,0.134962721696486,"Koppel"
-1.1946512217353,0.140859042454753,"Laine"
-1.45534484232064,0.140859042454753,"Loschelder"
-1.37143122230444,0.153755201338148,"McCarthy"
-1.58861107035356,0.115701689083437,"Meijer"
-1.26452482261384,0.147602480923349,"Ozdogru"
-1.61770570889961,0.13723116159877,"Suchotzki"
-1.06837992827223,0.136653343615131,"Sutan"
-1.73989396850895,0.14023438730389,"Vanpaemel"
-1.67194948269982,0.130244110860761,"Verschuere"
-1.67424976593876,0.11859467782747,"Wick"
-1.78254820593023,0.135519271363624,"Wiggins"
