"HH","EM","EX","AG","CO","OX"
0.0694190277518256,0.0628393585222346,0.0772546891628016,0.054645205903852,0.0605974906540396,0.0524746273188254
0.0531696278330939,0.0728420917192348,0.0520536907975866,0.0335744713738096,0.0563802930485202,0.0654023613087948
0.0550890656359747,0.0503370941308184,0.0500424804848603,0.0604547989393879,0.0431498563941454,0.0503042772013834
0.0650339979655736,0.0515648598085381,0.0660371468281336,0.0520058738641151,0.0448824038069652,0.0489681468627925
0.0515237551472399,0.0632368241156954,0.0706789634123845,0.0470828578471486,0.0483871942197059,0.0433442845398045
0.0488938082047885,0.0473383856995906,0.0589028561257685,0.0386969054135194,0.0397704679965284,0.0417842182092255
0.0390177963817015,0.0432320542386496,0.0383987143133823,0.0465928934376161,0.0393778005291992,0.0499362600916924
0.0604691389033698,0.0643965461868295,0.0528065449409432,0.0380839078945831,0.0602856822568033,0.0482851791396923
0.0603902802429869,0.0628689229791818,0.0466599088084433,0.0492410346012927,0.0437107749338825,0.0498540339850046
0.0474416279922008,0.0428945839124762,0.0378767482083691,0.0370227598194492,0.0409969514035126,0.0477290497636286
0.0466928956790655,0.0783435856496725,0.0761850574071372,0.0512173123335219,0.0342258404931554,0.0633546793797612
0.0387406536654705,0.0407862250988536,0.0363055712113373,0.0262142546600409,0.0461635725344791,0.031674602367706
0.0490951584301796,0.0543714115469734,0.0522255828011293,0.057915169771046,0.0380983401621623,0.0459437325409997
0.036811678647404,0.0367274686995093,0.0548743687547441,0.0426516667505146,0.0469652657130249,0.0451605887278044
0.0291652361090345,0.0276764834702211,0.0355807941284431,0.0188593571392875,0.0265713721701172,0.0337431735835042
0.0507907918111428,0.0640118996696084,0.057019607742101,0.0528238881564424,0.0624092674529274,0.0597092774675192
0.0350972441270475,0.0476921655744261,0.0550786474563129,0.0408282623982921,0.0463877869195079,0.0433780712480477
0.0336921308474114,0.0456657974294495,0.0485717656853836,0.0364074190175852,0.0370151185568788,0.0435952401785954
0.0455504559240956,0.0497307274632865,0.065090681331419,0.0526858860407531,0.0326422002768794,0.0537650626105708
