"reliability","StandardError","source"
-1.23019674548943,0.157867407592772,"Aczel"
-1.42095442123551,0.163299316185545,"Birt"
-0.986272240129861,0.157134840263677,"Evans"
-1.08874918662719,0.160903597341826,"Ferreira-Santos"
-1.3327200401087,0.154996851658426,"Gonzalez-Iraizoz"
-1.10513185127661,0.147844254190915,"Holzmeister"
-1.1304661534949,0.139516021283031,"klein Selle & Rozmann"
-1.32843523644467,0.147844254190915,"Koppel"
-0.900919674119274,0.154303349962092,"Laine"
-1.18783079284265,0.154303349962092,"Loschelder"
-1.47309926973707,0.168430384213304,"McCarthy"
-1.06965248058731,0.126744850104896,"Meijer"
-0.930603318534092,0.161690416690889,"Ozdogru"
-0.734120464562479,0.150329205600566,"Suchotzki"
-0.474978215183797,0.149696237713024,"Sutan"
-1.28813843238894,0.153619074528514,"Vanpaemel"
-1.10560399635009,0.142675275001284,"Verschuere"
-1.04613236092888,0.129913960492326,"Wick"
-1.3270029382381,0.148453923805041,"Wiggins"
