"reliability","StandardError","source"
0.680416144147465,0.0513205832481469,"Aczel"
0.601153483609044,0.0639827335529881,"Birt"
0.780586136180242,0.0359953279966381,"Evans"
0.707200805948773,0.0551433260030362,"Ferreira-Santos"
0.696089146542139,0.0486557537823764,"Gonzalez-Iraizoz"
0.701551341300922,0.0451220378818186,"Holzmeister"
0.715616936932681,0.0438001745686778,"klein Selle & Rozmann"
0.717423132858008,0.0367441775611462,"Koppel"
0.687533211118559,0.0458854621516915,"Laine"
0.675848997976511,0.0593760524511019,"Loschelder"
0.734250820033842,0.0500103275284136,"McCarthy"
0.52908229140446,0.0626086745647777,"Meijer"
0.593241223945401,0.0806538050246113,"Ozdogru"
0.760584732769402,0.0373762389946342,"Suchotzki"
0.513779384592389,0.581390123378533,"Sutan"
0.683825462074156,0.0527081489841031,"Vanpaemel"
0.696690853592215,0.0449919798144606,"Verschuere"
0.679232868926518,0.0411985037971972,"Wick"
0.645325367175,0.0669673957684893,"Wiggins"
