"reliability","StandardError","source"
-1.69718360719578,0.144112567055706,"Aczel"
-1.64038480412441,0.149071198499986,"Birt"
-1.40560299499362,0.143443827637312,"Evans"
-1.57332672069202,0.146884216413077,"Ferreira-Santos"
-1.64574301062756,0.14149211999267,"Gonzalez-Iraizoz"
-1.37769782112508,0.134962721696486,"Holzmeister"
-1.4474445570047,0.127360119983478,"klein Selle & Rozmann"
-1.63527285866902,0.134962721696486,"Koppel"
-1.28492098727124,0.140859042454753,"Laine"
-1.52133966166859,0.140859042454753,"Loschelder"
-1.64215003110804,0.153755201338148,"McCarthy"
-1.4301776257726,0.115701689083437,"Meijer"
-1.16878836511306,0.147602480923349,"Ozdogru"
-1.07542536445528,0.13723116159877,"Suchotzki"
-0.648275415767368,0.136653343615131,"Sutan"
-1.77450697908674,0.14023438730389,"Vanpaemel"
-1.42889719545867,0.130244110860761,"Verschuere"
-1.38959422547675,0.11859467782747,"Wick"
-1.45781260335066,0.135519271363624,"Wiggins"
