"reliability","StandardError"
-1.85797218494654,0.144112567055706
-1.26699968899495,0.149071198499986
-1.37071933999595,0.143443827637312
-1.88002579850492,0.146884216413077
-2.11304320122375,0.14149211999267
-1.8924874549008,0.134962721696486
-1.55692627442492,0.127360119983478
-1.80711665886384,0.134962721696486
-1.2277808110154,0.140859042454753
-1.42813714473148,0.140859042454753
-1.4052921360884,0.153755201338148
-1.54435760774581,0.115701689083437
-1.25862290838656,0.147602480923349
-1.62338463535111,0.13723116159877
-1.04895539820642,0.136653343615131
-1.81139785216756,0.14023438730389
-1.69359552486327,0.130244110860761
-1.64476108870787,0.11859467782747
-1.77757894429831,0.135519271363624
