"reliability","StandardError","source"
-1.12741054890843,0.146176336551172,"Aczel_no cheat"
-1.6196685441985,0.144112567055706,"Aczel_cheat"
-1.50166756105005,0.148331386496662,"Birt_no cheat"
-1.60065900039916,0.149071198499986,"Birt_cheat"
-1.24287313343428,0.143443827637312,"Evans_cheat"
-1.28919891045172,0.136653343615131,"Evans_no cheat"
-1.43755092643884,0.146884216413077,"Ferreira-Santos_cheat"
-1.67274431299467,0.146176336551172,"Ferreira-Santos_no cheat"
-1.66140492007843,0.14149211999267,"Gonzalez-Iraizoz_cheat"
-1.45596733615708,0.149822191658498,"Gonzalez-Iraizoz_no cheat"
-1.56358666108001,0.134962721696486,"Holzmeister_cheat"
-1.86911024909963,0.136082763487954,"Holzmeister_no cheat"
-1.41190492094776,0.125097770840134,"klein Selle & Rozmann_no cheat"
-1.4465545826756,0.127360119983478,"klein Selle & Rozmann_cheat"
-1.31052553293454,0.14213381090374,"Koppel_no cheat"
-1.62353725118931,0.134962721696486,"Koppel_cheat"
-1.11238678752159,0.140859042454753,"Laine_cheat"
-1.27638235831032,0.143443827637312,"Laine_no cheat"
-1.65248325436731,0.152145154862546,"Loschelder_no cheat"
-1.3703427030963,0.140859042454753,"Loschelder_cheat"
-1.53787416629341,0.136082763487954,"McCarthy_no cheat"
-1.0083195258929,0.153755201338148,"McCarthy_cheat"
-1.7200481624199,0.115701689083437,"Meijer_cheat"
-1.52694852861392,0.115701689083437,"Meijer_no cheat"
-1.00369701604488,0.130244110860761,"Ozdogru_no cheat"
-0.986060835922587,0.147602480923349,"Ozdogru_cheat"
-1.52836997078829,0.13723116159877,"Suchotzki_no cheat"
-1.58534540859855,0.13723116159877,"Suchotzki_cheat"
-0.735718263586701,0.136653343615131,"Sutan_cheat"
-0.764420383168139,0.112048774242136,"Sutan_no cheat"
-1.75832853239341,0.14023438730389,"Vanpaemel_cheat"
-1.42104208806688,0.14213381090374,"Vanpaemel_no cheat"
-1.63326147819152,0.130744090092123,"Verschuere_no cheat"
-1.55845635681829,0.130244110860761,"Verschuere_cheat"
-1.54320935416357,0.11859467782747,"Wick_cheat"
-1.69834015428482,0.113665723245079,"Wick_no cheat"
-1.22920113038679,0.135519271363624,"Wiggins_cheat"
-1.12443107146405,0.139009609371383,"Wiggins_no cheat"
