"reliability","StandardError"
-1.68652503483372,0.144112567055706
-1.62573790917908,0.149071198499986
-1.40019443935104,0.143443827637312
-1.57362646686565,0.146884216413077
-1.63815693265427,0.14149211999267
-1.34124373930824,0.134962721696486
-1.4402212941225,0.127360119983478
-1.62181568917172,0.134962721696486
-1.2813908905515,0.140859042454753
-1.4980899601456,0.140859042454753
-1.64747823919732,0.153755201338148
-1.41490703433652,0.115701689083437
-1.16467796126918,0.147602480923349
-1.10246382589091,0.13723116159877
-0.618210584227948,0.136653343615131
-1.74771164600205,0.14023438730389
-1.40890743919457,0.130244110860761
-1.38921398005333,0.11859467782747
-1.46448847574059,0.135519271363624
