"reliability","StandardError","source"
-1.27528121654169,0.146176336551172,"Aczel_no cheat"
-1.29345385984926,0.144112567055706,"Aczel_cheat"
-1.73986529587722,0.148331386496662,"Birt_no cheat"
-1.57140608868185,0.149071198499986,"Birt_cheat"
-1.15148441736209,0.143443827637312,"Evans_cheat"
-1.32507473468544,0.136653343615131,"Evans_no cheat"
-1.25646098854309,0.146884216413077,"Ferreira-Santos_cheat"
-1.46254003173664,0.146176336551172,"Ferreira-Santos_no cheat"
-1.56918332406434,0.14149211999267,"Gonzalez-Iraizoz_cheat"
-1.42319850324782,0.149822191658498,"Gonzalez-Iraizoz_no cheat"
-1.02128948860549,0.134962721696486,"Holzmeister_cheat"
-1.02526000282284,0.136082763487954,"Holzmeister_no cheat"
-1.46836010860096,0.125097770840134,"klein Selle & Rozmann_no cheat"
-1.41513383841985,0.127360119983478,"klein Selle & Rozmann_cheat"
-1.32909119856422,0.14213381090374,"Koppel_no cheat"
-1.00090129189488,0.134962721696486,"Koppel_cheat"
-1.3988901468235,0.140859042454753,"Laine_cheat"
-1.3124842128291,0.143443827637312,"Laine_no cheat"
-1.41428185124071,0.152145154862546,"Loschelder_no cheat"
-1.37007740728537,0.140859042454753,"Loschelder_cheat"
-1.079230468274,0.136082763487954,"McCarthy_no cheat"
-1.45673414646273,0.153755201338148,"McCarthy_cheat"
-1.16150826118999,0.115701689083437,"Meijer_cheat"
-1.15350485446049,0.115701689083437,"Meijer_no cheat"
-1.11728830692528,0.130244110860761,"Ozdogru_no cheat"
-1.01608671522136,0.147602480923349,"Ozdogru_cheat"
-1.24846501107578,0.13723116159877,"Suchotzki_no cheat"
-1.31738803749515,0.13723116159877,"Suchotzki_cheat"
-0.922022747509251,0.136653343615131,"Sutan_cheat"
-1.00398245802723,0.112048774242136,"Sutan_no cheat"
-1.54913540499914,0.14023438730389,"Vanpaemel_cheat"
-1.29120946506033,0.14213381090374,"Vanpaemel_no cheat"
-1.37569760367911,0.130744090092123,"Verschuere_no cheat"
-1.25535762273182,0.130244110860761,"Verschuere_cheat"
-1.4879856671829,0.11859467782747,"Wick_cheat"
-1.36209282015902,0.113665723245079,"Wick_no cheat"
-1.29181693056168,0.135519271363624,"Wiggins_cheat"
-1.49017117565793,0.139009609371383,"Wiggins_no cheat"
