"reliability","StandardError","source"
-0.948973007236932,0.160128153805087,"Aczel_no cheat"
-0.777686683049877,0.157867407592772,"Aczel_cheat"
-0.698905850009263,0.162488892740478,"Birt_no cheat"
-1.03173286622618,0.163299316185545,"Birt_cheat"
-1.01920748096781,0.157134840263677,"Evans_cheat"
-0.845746574101778,0.149696237713024,"Evans_no cheat"
-1.26077533920626,0.160903597341826,"Ferreira-Santos_cheat"
-1.35722604292637,0.160128153805087,"Ferreira-Santos_no cheat"
-1.1611047663441,0.154996851658426,"Gonzalez-Iraizoz_cheat"
-1.3010386428123,0.164121987972444,"Gonzalez-Iraizoz_no cheat"
-0.894532193683829,0.147844254190915,"Holzmeister_cheat"
-0.996563646857264,0.149071198499986,"Holzmeister_no cheat"
-0.925026778004772,0.137037741965506,"klein Selle & Rozmann_no cheat"
-0.938910695806394,0.139516021283031,"klein Selle & Rozmann_cheat"
-1.01864108421437,0.155699788832305,"Koppel_no cheat"
-0.935217943146543,0.147844254190915,"Koppel_cheat"
-0.91359716552658,0.154303349962092,"Laine_cheat"
-0.908235120102793,0.157134840263677,"Laine_no cheat"
-0.807755198108841,0.166666666666667,"Loschelder_no cheat"
-1.06895654307153,0.154303349962092,"Loschelder_cheat"
-0.838931753700708,0.149071198499986,"McCarthy_no cheat"
-0.691064215198194,0.168430384213304,"McCarthy_cheat"
-0.953744885330175,0.126744850104896,"Meijer_cheat"
-1.05174726436937,0.126744850104896,"Meijer_no cheat"
-0.798800659617745,0.142675275001284,"Ozdogru_no cheat"
-0.74737245863238,0.161690416690889,"Ozdogru_cheat"
-0.96385660528806,0.150329205600566,"Suchotzki_no cheat"
-0.671812997072475,0.150329205600566,"Suchotzki_cheat"
-0.475972305363046,0.149696237713024,"Sutan_cheat"
-0.456561937957101,0.122743282386443,"Sutan_no cheat"
-0.999795213176747,0.153619074528514,"Vanpaemel_cheat"
-0.853661112483506,0.155699788832305,"Vanpaemel_no cheat"
-0.758114614739478,0.143222974807887,"Verschuere_no cheat"
-0.848443018229351,0.142675275001284,"Verschuere_cheat"
-0.637946162105263,0.129913960492326,"Wick_cheat"
-1.00676830233319,0.124514561272938,"Wick_no cheat"
-1.0091736013009,0.148453923805041,"Wiggins_cheat"
-1.12034919087365,0.152277397525376,"Wiggins_no cheat"
