"HH","EM","EX","AG","CO","OX"
0.204573975912712,0.400959374334799,0.489101525276551,0.311161449012723,0.318086104504096,0.270189866727074
0.276484269882737,0.393047740460321,0.256210963952949,0.176655102001872,0.32362717487435,0.418991134253235
0.29970595821408,0.310992628311378,0.285842069454457,0.38259249244566,0.202211880709631,0.249691741193432
0.301610110031283,0.333264627455071,0.461493637010193,0.286295899957134,0.274042519639314,0.24969654439033
0.331947945028063,0.382404546536491,0.513065348975397,0.31243147820636,0.322574334527321,0.359693161241078
0.279888114093888,0.255012687589242,0.400769267418481,0.230689833027363,0.282246864527785,0.215236956901827
0.271724871260699,0.289581005710179,0.27844176866635,0.310675368181213,0.254321676945221,0.355434281364335
0.288507288639734,0.436774154354086,0.401386114050176,0.246612093151617,0.339285742681088,0.218746297550416
0.294848405367788,0.290154339389211,0.246031748326306,0.293889034498963,0.219032665893653,0.352431269146473
0.266343943779435,0.303116407384905,0.228645723471964,0.179619073555845,0.212669805794107,0.294911298214677
0.193670236311136,0.423279945183233,0.297251842193712,0.276727359317199,0.149102599360358,0.396555356370236
0.254908399941465,0.285863674311185,0.287765783395832,0.152870816506482,0.3396388814884,0.209707627238613
0.171541702544429,0.24451653116143,0.259087429429076,0.246677224837689,0.207078422559303,0.227467718154166
0.184427001397985,0.174471272888672,0.303862280061295,0.286454579438031,0.275688120423736,0.268974207328437
0.0756996389878019,0.0847768044077135,0.141169647993717,0.0496369382107064,0.100283026188062,0.153155635973238
0.282875283064551,0.439692455926708,0.394868891226741,0.283062636581025,0.42345800214553,0.399440569824542
0.21347210663461,0.309397286144655,0.330794711987344,0.25337798402909,0.331637229437229,0.276996101921217
0.177543312254345,0.333829220726118,0.349451324106008,0.253704434873082,0.263229110496326,0.36042670367386
0.242737197663886,0.345911280928069,0.438862918178581,0.247720885835007,0.20174188603902,0.315756073657339
