"reliability","StandardError","source"
0.75310643912706,0.0349132457639478,"Aczel"
0.629359044924445,0.0530330557676991,"Birt"
0.801223112967311,0.027949515254464,"Evans"
0.769312022081915,0.0334109762194379,"Ferreira-Santos"
0.792408209604471,0.0290667148003698,"Gonzalez-Iraizoz"
0.721366447465039,0.0369075173595934,"Holzmeister"
0.766783422239008,0.0291695532785825,"klein Selle & Rozmann"
0.73732447702685,0.0351243103977989,"Koppel"
0.739430976069313,0.0361901411406981,"Laine"
0.696199423361566,0.0415903959650385,"Loschelder"
0.759468412384557,0.0358563121510344,"McCarthy"
0.635934497870979,0.0410748028606975,"Meijer"
0.685864495265936,0.0457896815132216,"Ozdogru"
0.777655526260466,0.0302815274556027,"Suchotzki"
0.376681656961607,0.0838301661498585,"Sutan"
0.748105014060158,0.0348571805817535,"Vanpaemel"
0.751851586374696,0.0317303932631664,"Verschuere"
0.734704806990236,0.0311943105077043,"Wick"
0.727161703717533,0.0365509102031199,"Wiggins"
