"reliability","StandardError","source"
-0.361694530365926,0.199007438041998,"brasilia"
-0.279110704571336,0.214422506967559,"wilfredlaur"
-0.558752835726637,0.161164592805076,"ubc"
-0.238266593325332,0.107832773203438,"toronto"
-0.514010648808079,0.338061701891407,"ouhk"
-0.215784182256368,0.175411603861406,"hkust"
-0.147979699384104,0.173421993904824,"cas"
-0.126169054701354,0.222222222222222,"zhejiang"
-0.642792182921761,0.163846384103808,"hunancomp"
-0.624330226040639,0.516397779494322,"henan"
-0.0379487927896484,0.172132593164774,"purkyne"
-0.0872850986330031,0.196116135138184,"leuven"
-0.407112609085389,0.208514414057075,"vuamsterdam"
-0.216577227705808,0.206284249251759,"tilburg"
-0.336788592207527,0.192450089729875,"eindhoven"
-0.272916669395847,0.226455406828919,"tilburgcaf"
-0.0869465828729131,0.201007563051842,"tilburgcomm"
-0.248574392877667,0.282842712474619,"navarra"
-0.0827996489267079,0.190692517849118,"lausanne"
-0.259009464502707,0.308606699924184,"poitiers"
-0.529385244452553,0.151619608715781,"elte"
-0.428919933263109,0.106148978486855,"mturk_india"
-0.680987842356658,0.170871531543352,"winchester"
-0.51902547885576,0.1898315991505,"doshisha"
-0.141177789531155,0.2,"vuw"
-0.136806183422041,0.205195670417031,"wroclaw"
-0.22316644151093,0.210818510677892,"swps"
-0.0945376415980846,0.333333333333333,"badaniaon"
-0.601968581398382,0.35921060405355,"uniporto"
-0.627333318158907,0.227921152919276,"unibelgrade"
-0.111271326867113,0.41702882811415,"fmkbelgrade"
-0.285339192461768,0.285714285714286,"johannesburg"
-0.18145207876038,0.458831467741124,"johannesburgother"
-0.0281172261044036,0.207390338946085,"udd"
-0.0427427746662078,0.267261241912424,"santiagoon"
-0.106878892497609,0.203069233026724,"ucron"
-0.27997913480106,0.168430384213304,"unam"
-0.0790110226605672,0.220863052149693,"pscio"
-0.0925095572956763,0.190692517849118,"lundon"
-0.0501840801092776,0.172773685116272,"ntnu"
-0.518373618369253,0.163299316185545,"bilgi"
-0.839421847600158,0.218217890235992,"koc"
-0.21575535166169,0.214422506967559,"aus"
-0.129489183070577,0.203069233026724,"hawaiion"
-0.497186139088896,0.206284249251759,"washlee"
-0.183638212678702,0.206284249251759,"plu"
-0.441661034239637,0.218217890235992,"wpi"
-0.271353675792665,0.154303349962092,"sandiegosu"
-0.399463606725939,0.140372481268719,"uiuc"
-0.613858702762196,0.215665546406877,"tufts"
-0.459522107617333,0.1898315991505,"ufl"
-0.646287248541209,0.222222222222222,"uva"
-0.474709110513919,0.232495277487639,"bc"
-0.032805489560158,0.229415733870562,"ithaca"
-0.480958033134647,0.176776695296637,"marian"
-0.597138311133008,0.181071492085037,"williampat"
-0.0152150648425377,0.154764646506827,"psuabington"
-0.0835371132461972,0.166666666666667,"occid"
-0.694266915948475,0.216930457818656,"umich"
-0.553577878756312,0.203069233026724,"tamu"
-0.28953913750751,0.223606797749979,"psumain"
-0.723447215580475,0.110600252721866,"mturk"
-0.282825459701957,0.182574185835055,"grazvienna"
-0.400061399030344,0.21320071635561,"potsdam"
