"reliability","StandardError","source"
0.742735428362956,0.0488056436582319,"Aczel"
0.573173230084884,0.0832328577496395,"Birt"
0.605613290231584,0.0641960289791876,"Evans"
0.815153860392324,0.0281652825162305,"Ferreira-Santos"
0.829665763398995,0.026103557987809,"Gonzalez-Iraizoz"
0.804044924282414,0.0303440990927762,"Holzmeister"
0.717562445419735,0.0368098664955719,"klein Selle & Rozmann"
0.786411493092961,0.0318439144725493,"Koppel"
0.540376510924368,0.0806972974420628,"Laine"
0.665209207091197,0.0565528775452159,"Loschelder"
0.637027636309383,0.0853271308581243,"McCarthy"
0.710439187783947,0.0373247905224241,"Meijer"
0.626403597245566,0.0660329915746568,"Ozdogru"
0.729415842191158,0.0465927538942989,"Suchotzki"
0.584193107447847,0.0765948343247218,"Sutan"
0.744411967560723,0.0383340869554104,"Vanpaemel"
0.737739627895506,0.0416282556172193,"Verschuere"
0.744559839042596,0.0359246101825766,"Wick"
0.782048913992755,0.0343372893279252,"Wiggins"
