"reliability","StandardError","source"
-1.41858684435171,0.144112567055706,"Aczel"
-1.08563536800961,0.149071198499986,"Birt"
-1.64148328907343,0.143443827637312,"Evans"
-1.47458806865301,0.146884216413077,"Ferreira-Santos"
-1.58599580349599,0.14149211999267,"Gonzalez-Iraizoz"
-1.28556256325494,0.134962721696486,"Holzmeister"
-1.48113293094678,0.127360119983478,"klein Selle & Rozmann"
-1.33616769249873,0.134962721696486,"Koppel"
-1.36336329668228,0.140859042454753,"Laine"
-1.24029927477892,0.140859042454753,"Loschelder"
-1.42059554507347,0.153755201338148,"McCarthy"
-1.01697925235176,0.115701689083437,"Meijer"
-1.16319353551338,0.147602480923349,"Ozdogru"
-1.50094715008207,0.13723116159877,"Suchotzki"
-0.400352943884417,0.136653343615131,"Sutan"
-1.39008741724383,0.14023438730389,"Vanpaemel"
-1.41308171817113,0.130244110860761,"Verschuere"
-1.34475093071879,0.11859467782747,"Wick"
-1.30505314319353,0.135519271363624,"Wiggins"
