"reliability","StandardError"
0.816801242174902,0.0261884286374493
0.806094587669556,0.0334714794712227
0.754780854054584,0.0344578461243105
0.792645775906185,0.0299612459449386
0.807130794327119,0.0292502559902612
0.747841600911468,0.0394638533868458
0.764829514347886,0.0306132835552738
0.805100815888749,0.0268503397725592
0.723327556586911,0.0509703702893325
0.781580916806423,0.0290688681693449
0.806436572806175,0.0344642380708199
0.760733581413464,0.0284863527662621
0.68925677941018,0.05387258327241
0.658847389760814,0.0557403872341506
0.477053134545327,0.0870888370743606
0.830432971013951,0.0246457785948326
0.7604270212154,0.0323151390054905
0.750823606447075,0.028712576564608
0.767255176424793,0.029329830328759
