"reliability","StandardError","source"
0.84401137404671,0.0225735777355466,"Aczel"
0.718324530746817,0.0418264507524804,"Birt"
0.746075764018389,0.0364566684768804,"Evans"
0.847413830788931,0.0222766973910309,"Ferreira-Santos"
0.879130424266611,0.017082696209346,"Gonzalez-Iraizoz"
0.84930350848891,0.0202933440619526,"Holzmeister"
0.789217034504479,0.0265838111126099,"klein Selle & Rozmann"
0.835873311556144,0.0220664181049224,"Koppel"
0.707058049576555,0.0406349024985887,"Laine"
0.760244864383211,0.0337186992771605,"Loschelder"
0.754704613649946,0.0378739464747789,"McCarthy"
0.786551054860387,0.0246599461418397,"Meijer"
0.715955086837617,0.0419079896704766,"Ozdogru"
0.802769983587384,0.0270848763230504,"Suchotzki"
0.649696514297191,0.0471029605483071,"Sutan"
0.836574467672301,0.0230945981100594,"Vanpaemel"
0.816142729255819,0.0240362910780828,"Verschuere"
0.806941318816582,0.0226613758755172,"Wick"
0.830953075747184,0.022899088411664,"Wiggins"
