"reliability","StandardError","source"
0.757944162108465,0.0358379680822712,"Aczel"
0.662312837900667,0.0458394898999544,"Birt"
0.806307472899516,0.0301909854650744,"Evans"
0.771127012412479,0.0364971222518647,"Ferreira-Santos"
0.795256193030167,0.029044496080541,"Gonzalez-Iraizoz"
0.723505006052212,0.0391008236737845,"Holzmeister"
0.772620063362977,0.0312613953378224,"klein Selle & Rozmann"
0.737148933032396,0.0333915231650832,"Koppel"
0.74420099936897,0.0366989411702778,"Laine"
0.710702374500683,0.0457330261511979,"Loschelder"
0.758429891838592,0.0409801115837448,"McCarthy"
0.638314146652263,0.044367730245093,"Meijer"
0.687513351498429,0.057442035963993,"Özdoğru"
0.777081077548375,0.0307492706620996,"Suchotzki"
0.329916497579445,0.0838403044742798,"Sutan"
0.750946467893307,0.0382932942718824,"Vanpaemel"
0.756607939515811,0.0333192986262867,"Verschuere"
0.739395391620234,0.0296980392024681,"Wick"
0.728841875545994,0.0474277882714456,"Wiggins"
