"reliability","StandardError","source"
-1.85797218494654,0.144112567055706,"Aczel"
-1.26699968899495,0.149071198499986,"Birt"
-1.37071933999595,0.143443827637312,"Evans"
-1.88002579850492,0.146884216413077,"Ferreira-Santos"
-2.11304320122375,0.14149211999267,"Gonzalez-Iraizoz"
-1.8924874549008,0.134962721696486,"Holzmeister"
-1.55692627442492,0.127360119983478,"klein Selle & Rozmann"
-1.80711665886384,0.134962721696486,"Koppel"
-1.2277808110154,0.140859042454753,"Laine"
-1.42813714473148,0.140859042454753,"Loschelder"
-1.4052921360884,0.153755201338148,"McCarthy"
-1.54435760774581,0.115701689083437,"Meijer"
-1.25862290838656,0.147602480923349,"Ozdogru"
-1.62338463535111,0.13723116159877,"Suchotzki"
-1.04895539820642,0.136653343615131,"Sutan"
-1.81139785216756,0.14023438730389,"Vanpaemel"
-1.69359552486327,0.130244110860761,"Verschuere"
-1.64476108870787,0.11859467782747,"Wick"
-1.77757894429831,0.135519271363624,"Wiggins"
