"reliability","StandardError","source"
0.739743163242871,0.0508134052814823,"Aczel"
0.732366296293263,0.0456061025111249,"Birt"
0.589362499000207,0.0764566722923955,"Evans"
0.560499311185027,0.0656856503275681,"Ferreira-Santos"
0.688441076291226,0.0452798393044376,"Gonzalez-Iraizoz"
0.705254724570235,0.0455446945685264,"Holzmeister"
0.699008905469343,0.0428058505075842,"klein Selle & Rozmann"
0.721301384787847,0.0423736959719262,"Koppel"
0.597890359734964,0.0670695068226654,"Laine"
0.648102308768627,0.0633197641161523,"Loschelder"
0.43506979666036,0.0891781785042057,"McCarthy"
0.741557529832056,0.0367898919908445,"Meijer"
0.560937525338328,0.0651504461229148,"Ozdogru"
0.737196702957104,0.0446350230247311,"Suchotzki"
0.553943775416118,0.0701542478380583,"Sutan"
0.734373132170034,0.0416841406574678,"Vanpaemel"
0.740371474374263,0.0373382519579693,"Verschuere"
0.718878097250478,0.0351421199184273,"Wick"
0.615066743692414,0.058272727195383,"Wiggins"
