"reliability","StandardError","source"
0.725678323631335,0.0383614628818365,"Aczel"
0.792247142054019,0.0296641344299612,"Birt"
0.683832903057686,0.0445162580782558,"Evans"
0.715340340226407,0.0406472383298791,"Ferreira-Santos"
0.791784842751263,0.0282817813370014,"Gonzalez-Iraizoz"
0.639869743227109,0.0467582922370253,"Holzmeister"
0.75710689715587,0.0300147971814673,"klein Selle & Rozmann"
0.632451976212844,0.04826291376189,"Koppel"
0.753129197702571,0.0337854450488727,"Laine"
0.745912709415863,0.0345417089178663,"Loschelder"
0.767004035768833,0.0351280106721627,"McCarthy"
0.686986281769512,0.0351785671411376,"Meijer"
0.63799118449219,0.0511352957467414,"Özdoğru"
0.732166038602782,0.035716152078614,"Suchotzki"
0.602286247590827,0.0530725947665177,"Sutan"
0.787568438282993,0.0289372921232811,"Vanpaemel"
0.71502608315159,0.0357260355158521,"Verschuere"
0.774172911388362,0.0256349356338067,"Wick"
0.725228910716838,0.0362694633217404,"Wiggins"
