"reliability","StandardError","source"
-1.27096718882788,0.144112567055706,"Aczel"
-1.61690038218344,0.149071198499986,"Birt"
-1.295717411152,0.146884216413077,"Ferreira-Santos"
-1.61272922542051,0.14149211999267,"Gonzalez-Iraizoz"
-1.09215530373303,0.134962721696486,"Holzmeister"
-1.45587812283426,0.127360119983478,"klein Selle & Rozmann"
-1.03083494661987,0.134962721696486,"Koppel"
-1.4201154352813,0.140859042454753,"Laine"
-1.41419203576869,0.140859042454753,"Loschelder"
-1.52023231995136,0.153755201338148,"McCarthy"
-1.19564041224741,0.115701689083437,"Meijer"
-1.06073828210551,0.147602480923349,"Ozdogru"
-1.35915200257142,0.13723116159877,"Suchotzki"
-0.934366778269041,0.136653343615131,"Sutan"
-1.57965472579846,0.14023438730389,"Vanpaemel"
-1.31353998757731,0.130244110860761,"Verschuere"
-1.52879099935305,0.11859467782747,"Wick"
-1.30250278961068,0.135519271363624,"Wiggins"
