"","HH","EM","EX","AG","CO","OX"
"Aczel",0.0686994464702661,0.0630725684296841,0.0801242363280158,0.0531712306423609,0.0610572297763736,0.0526345032141699
"Birt",0.0533732537368612,0.0723406287970511,0.0523263856552768,0.0344941773320154,0.0577691089860796,0.06467350109454
"Evans",0.0541790837460217,0.0501047819311536,0.0506587471831949,0.0627128044016324,0.0436208317135691,0.054051718284708
"Ferreira-Santos",0.0639045836438544,0.055887101226147,0.0663676023459309,0.0519281146334959,0.0453040906737049,0.0488173918881638
"Gonzalez-Iraizoz",0.0505336173235212,0.0637870921445777,0.0685730944022326,0.0480119171534569,0.0481102220172866,0.046086850810564
"Holzmeister",0.0474460509156209,0.0475739155577051,0.0554077763019099,0.0388805442550228,0.0416084896429548,0.0418706957526182
"klein Selle & Rozmann",0.0404403444756547,0.0440910657906076,0.0396168726802105,0.0475191383322661,0.0370265537757045,0.0506563809729691
"Koppel",0.0578853663269658,0.0635529963771962,0.0541722819295936,0.0375306915007985,0.0574384195560049,0.0478308425654629
"Laine",0.057783669698003,0.0660656022059977,0.0450759654490767,0.0501413255358739,0.0448033763013363,0.0506248912445999
"Loschelder",0.0480886895889361,0.0430427735520811,0.0354655685829927,0.0389204963623937,0.0390185169356513,0.0480540238483144
"McCarthy",0.0458812030538161,0.07495896585293,0.0756282556008091,0.050771354091985,0.0327484777682588,0.0647901920078489
"Meijer",0.037196884469102,0.0416920008615358,0.0377594565180244,0.0257553389504587,0.044699067810159,0.0319160296303353
"Ozdogru",0.0492394360969731,0.0548432143287234,0.0540389304041439,0.05959469472003,0.0396849677683642,0.0466391746082677
"Suchotzki",0.0378171159140097,0.0386827506088697,0.055196301790686,0.0422596183192878,0.0473719443608785,0.0454041050154814
"Sutan",0.0308027755558151,0.0274202496876623,0.0364617378018604,0.0192706912641993,0.0259491534636075,0.033870435105653
"Vanpaemel",0.0484446505594871,0.0639188286513548,0.0555586599001514,0.0514447951639705,0.0635147551043461,0.0607335907955829
"Verschuere",0.0358960362033282,0.0485181566879599,0.052527482100107,0.0394465200830191,0.0466751138094403,0.0449464565881673
"Wick",0.0333313569534293,0.0469002524209184,0.0508755805405841,0.0348026199099205,0.0365312386099001,0.0426235147975298
"Wiggins",0.043533861996498,0.0495832222300495,0.0659656350936744,0.0537737804368969,0.0318209054854037,0.0544249760689487
