"reliability","StandardError","source"
0.433875432462645,0.110547925542566,"brasilia"
0.665171427308837,0.0691322150248577,"wilfredlaur"
0.651900202642083,0.0551880588029731,"ubc"
0.61002247273075,0.0413979289707431,"toronto"
-0.0393700787401574,0.327262989957358,"ouhk"
0.537565416157039,0.0799725188493469,"hkust"
0.571237590057555,0.0725354703687976,"cas"
0.608066233287256,0.0832559609141484,"zhejiang"
0.0967426060438394,0.144456107728818,"hunancomp"
-0.652382859431318,0.778427508691959,"henan"
0.312366682274596,0.114849783239902,"purkyne"
0.612425622613263,0.0731282637428885,"leuven"
0.440602358612701,0.111189862706877,"vuamsterdam"
0.744057073630368,0.0503705093835063,"tilburg"
0.715429692445867,0.0515166401657323,"eindhoven"
0.680515086004324,0.070322515017702,"tilburgcaf"
0.591870794078062,0.0777944035045107,"tilburgcomm"
0.64374987122695,0.0941451144413262,"navarra"
0.452107809508899,0.102880148160334,"lausanne"
-0.0993476381356602,0.33113369064455,"poitiers"
0.644856707264847,0.052245266963965,"elte"
0.429061410018279,0.0553092201668786,"mturk_india"
0.623732156273479,0.0621118138396589,"winchester"
-0.100459026262322,0.20283071084629,"doshisha"
0.691169094747647,0.0596853957656732,"vuw"
0.523679257121345,0.0960228470817357,"wroclaw"
0.733754433013208,0.0543143924293484,"swps"
0.669270596784449,0.107300955201532,"badaniaon"
0.676795005202913,0.107694385145295,"uniporto"
0.708531599758729,0.0624278635459498,"unibelgrade"
0.466678973601624,0.194134319653649,"fmkbelgrade"
0.7064594026699,0.0804178843704127,"johannesburg"
0.108695652173913,0.311531745638087,"johannesburgother"
0.600863769085061,0.0788994871484176,"udd"
0.609768359178622,0.10075732060883,"santiagoon"
0.572346779174877,0.0830984693452112,"ucron"
0.547678149000292,0.0744280132905149,"unam"
0.662211519458941,0.0724259222252416,"pscio"
0.684765953773443,0.0581264353637147,"lundon"
0.472570644199366,0.0895065745783478,"ntnu"
0.336980202275924,0.106487966403602,"bilgi"
0.566065082658253,0.0928924353538966,"koc"
0.681211749452817,0.0660102781977592,"aus"
0.460175074057658,0.104877743462327,"hawaiion"
0.572338028169014,0.0833347837257062,"washlee"
0.573663253697383,0.0815143372706255,"plu"
0.716732438831887,0.059803796441384,"wpi"
0.534246216820297,0.0698466098568733,"sandiegosu"
0.534305490222431,0.0641194060281345,"uiuc"
0.632159355560575,0.0758225753049006,"tufts"
0.574953761708728,0.0761135507614012,"ufl"
0.788353352592367,0.0454956229599315,"uva"
0.600313479623824,0.0876827404010442,"bc"
0.768826044064452,0.0514303145523008,"ithaca"
0.614209955127268,0.0657796966040771,"marian"
0.436947210562847,0.0991259010226468,"williampat"
0.552583907098921,0.0669833345631087,"psuabington"
0.622562706824101,0.0610418792504371,"occid"
0.627169951195404,0.0779854478870991,"umich"
0.679027157801269,0.064073420756353,"tamu"
0.592065735995759,0.087971851108502,"psumain"
0.774417811270503,0.0237551302111574,"mturk"
0.821101379240914,0.0314167512603738,"grazvienna"
0.592776820450871,0.0835322955654219,"potsdam"
